kernel,input,block,chunk,bandwidth
4,1024,64,15,1
4,1024,128,15,1
4,1024,256,15,1
4,1024,512,15,1
4,1024,1024,15,-1
4,221184,64,15,147
4,221184,128,15,176
4,221184,256,15,221
4,221184,512,15,221
4,221184,1024,15,-1
4,1000000,64,15,363
4,1000000,128,15,461
4,1000000,256,15,521
4,1000000,512,15,666
4,1000000,1024,15,-1
4,10000000,64,15,422
4,10000000,128,15,528
4,10000000,256,15,634
4,10000000,512,15,805
4,10000000,1024,15,-1
4,100003565,64,15,447
4,100003565,128,15,959
4,100003565,256,15,1215
4,100003565,512,15,1400
4,100003565,1024,15,-1
